823,20140107205422,18370866,-66066824,25,1
823,20140107205427,18370545,-66066850,24,1
823,20140107205432,18370246,-66066868,20,1
823,20140116154618,18370701,-66066830,18,1
823,20140116154623,18370535,-66066846,7,1
823,20140116154703,18370331,-66066865,19,1
823,20140116154708,18370140,-66066874,18,1
823,20140116161308,18370128,-66066767,5,1
823,20140116161318,18370310,-66066757,7,1
823,20140116161356,18370485,-66066739,12,1
823,20140116161402,18370675,-66066722,10,1
823,20140116161420,18370865,-66066694,8,1
823,20140116174253,18370818,-66066841,17,1
823,20140116174341,18370648,-66066835,7,1
823,20140116174400,18370485,-66066858,9,1
823,20140116174405,18370278,-66066865,27,1
823,20140116174410,18370076,-66066873,17,1
823,20140116181105,18370118,-66066800,21,1
823,20140116181200,18370401,-66066722,5,1
823,20140116181209,18370538,-66066715,15,1
823,20140116181214,18370696,-66066705,24,1
823,20140116192304,18370788,-66066823,26,1
823,20140116192309,18370525,-66066835,11,1
823,20140116192348,18370390,-66066858,17,1
823,20140116192353,18370166,-66066865,22,1
823,20140116192358,18370015,-66066869,7,1
823,20140116194919,18370116,-66066788,35,1
823,20140116194924,18370576,-66066748,30,1
823,20140116194929,18370913,-66066708,23,1
823,20140121201446,18370843,-66066821,26,1
823,20140121201451,18370566,-66066851,14,1
823,20140121201515,18370401,-66066868,15,1
823,20140121201520,18370200,-66066875,21,1
823,20140121203316,18370098,-66066776,21,1
823,20140121203321,18370413,-66066750,25,1
823,20140121203326,18370735,-66066719,26,1
827,20140126142512,18370828,-66066826,29,1
827,20140126142517,18370523,-66066846,13,1
827,20140126142534,18370408,-66066843,13,1
827,20140126142539,18370205,-66066844,17,1
827,20140126142544,18370053,-66066863,8,1
827,20140126144554,18370153,-66066748,27,1
827,20140126144559,18370510,-66066695,28,1
827,20140126144604,18370859,-66066666,24,1
827,20140126163901,18370971,-66066798,27,1
827,20140126163906,18370636,-66066830,22,1
827,20140126163911,18370488,-66066835,0,1
827,20140126163922,18370355,-66066835,14,1
827,20140126163927,18370180,-66066855,12,1
827,20140126165647,18370043,-66066801,27,1
827,20140126165652,18370470,-66066761,32,1
827,20140126165657,18370910,-66066738,30,1
827,20140126183441,18370736,-66066790,30,1
827,20140126183446,18370491,-66066821,8,1
827,20140126183535,18370400,-66066795,13,1
827,20140126183542,18370203,-66066802,8,1
827,20140126183549,18370008,-66066820,18,1
827,20140126185546,18370180,-66066766,38,1
827,20140126185551,18370745,-66066725,46,1
827,20140126203336,18370791,-66066813,44,1
827,20140126203341,18370255,-66066843,37,1
827,20140126205044,18370383,-66066807,41,1
